Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal disease, All ages, Current week","Invasive Pneumococcal disease, All ages, Current week, flag","Invasive Pneumococcal disease, All ages, Previous 52 weeks Med","Invasive Pneumococcal disease, All ages, Previous 52 weeks Med, flag","Invasive Pneumococcal disease, All ages, Previous 52 weeks Max","Invasive Pneumococcal disease, All ages, Previous 52 weeks Max, flag","Invasive Pneumococcal disease, All ages, Cum 2014","Invasive Pneumococcal disease, All ages, Cum 2014, flag","Invasive Pneumococcal disease, All ages, Cum 2013","Invasive Pneumococcal disease, All ages, Cum 2013, flag","Invasive Pneumococcal disease, Age LT 5, Current week","Invasive Pneumococcal disease, Age LT 5, Current week, flag","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Med","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Med, flag","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Max","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Max, flag","Invasive Pneumococcal disease, Age LT 5, Cum 2014","Invasive Pneumococcal disease, Age LT 5, Cum 2014, flag","Invasive Pneumococcal disease, Age LT 5, Cum 2013","Invasive Pneumococcal disease, Age LT 5, Cum 2013, flag","Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Med","Legionellosis, Previous 52 weeks Med, flag","Legionellosis, Previous 52 weeks Max","Legionellosis, Previous 52 weeks Max, flag","Legionellosis, Cum 2014","Legionellosis, Cum 2014, flag","Legionellosis, Cum 2013","Legionellosis, Cum 2013, flag",Location 1,Location 2
UNITED STATES,2014,1,169,,266,,606,,169,,530,,6,,19,,35,,6,,25,,16,,58,,258,,16,,56,,,
UNITED STATES,2014,2,215,,279,,606,,495,,1142,,7,,20,,35,,17,,52,,25,,59,,257,,51,,112,,,
UNITED STATES,2014,3,175,,289,,539,,802,,1681,,6,,20,,35,,28,,69,,29,,59,,258,,102,,163,,,
UNITED STATES,2014,4,159,,287,,466,,1124,,2133,,7,,20,,35,,45,,91,,15,,60,,258,,127,,208,,,
UNITED STATES,2014,5,186,,279,,498,,1479,,2553,,6,,20,,36,,58,,112,,38,,62,,259,,182,,255,,,
UNITED STATES,2014,6,174,,277,,539,,1826,,3008,,15,,20,,38,,83,,136,,17,,66,,267,,215,,318,,,
UNITED STATES,2014,7,206,,282,,556,,2118,,3432,,8,,20,,40,,98,,164,,25,,70,,267,,262,,369,,,
UNITED STATES,2014,8,210,,274,,569,,2476,,3867,,12,,19,,40,,118,,190,,17,,72,,268,,286,,421,,,
UNITED STATES,2014,9,179,,287,,587,,2830,,4275,,10,,19,,42,,138,,223,,13,,73,,269,,322,,484,,,
UNITED STATES,2014,10,208,,282,,633,,3205,,4695,,16,,19,,47,,164,,254,,30,,74,,269,,369,,521,,,
UNITED STATES,2014,11,213,,285,,635,,3560,,5137,,21,,19,,48,,198,,280,,38,,75,,273,,422,,571,,,
UNITED STATES,2014,12,151,,282,,639,,3816,,5636,,14,,19,,48,,223,,316,,30,,73,,273,,452,,542,,,
UNITED STATES,2014,13,201,,280,,641,,4157,,6058,,13,,19,,48,,244,,349,,36,,73,,273,,496,,581,,,
UNITED STATES,2014,14,189,,276,,642,,4461,,6531,,13,,19,,48,,267,,385,,26,,73,,273,,536,,624,,,
UNITED STATES,2014,15,151,,273,,629,,4820,,6963,,7,,19,,48,,286,,411,,29,,70,,271,,587,,648,,,
UNITED STATES,2014,16,149,,269,,629,,5121,,7456,,9,,19,,48,,314,,440,,37,,70,,275,,649,,673,,,
UNITED STATES,2014,17,198,,269,,629,,5504,,7824,,12,,19,,48,,340,,468,,24,,70,,275,,705,,708,,,
UNITED STATES,2014,18,222,,270,,654,,5855,,8245,,11,,19,,50,,360,,499,,34,,72,,282,,769,,742,,,
UNITED STATES,2014,19,161,,263,,676,,6160,,8593,,13,,20,,51,,381,,530,,39,,73,,285,,826,,790,,,
UNITED STATES,2014,20,162,,265,,716,,6408,,8949,,13,,20,,52,,404,,563,,32,,72,,285,,888,,857,,,
UNITED STATES,2014,21,119,,264,,716,,6627,,9282,,8,,19,,52,,427,,593,,27,,72,,285,,946,,927,,,
UNITED STATES,2014,22,150,,266,,715,,6926,,9528,,8,,20,,52,,454,,612,,37,,70,,285,,1020,,1005,,,
UNITED STATES,2014,23,157,,270,,722,,7238,,9825,,7,,20,,52,,474,,633,,37,,64,,285,,1096,,1124,,,
UNITED STATES,2014,24,103,,263,,728,,7476,,10047,,4,,20,,53,,481,,649,,44,,64,,285,,1181,,1278,,,
UNITED STATES,2014,25,112,,268,,752,,7728,,10280,,10,,20,,56,,507,,662,,67,,65,,285,,1310,,1522,,,
UNITED STATES,2014,26,94,,269,,752,,7894,,10484,,9,,20,,56,,519,,674,,93,,67,,285,,1441,,1807,,,
UNITED STATES,2014,27,89,,270,,752,,8080,,10641,,7,,20,,56,,541,,690,,93,,70,,223,,1590,,1986,,,
